,service_type,p-value,direction
0,Parking Meter Repair,2.2176130116360266e-11,-2181.5714285714284
1,Residential Parking Permit Violation,5.8415629538008775e-09,-882.7857142857142
2,Parking Enforcement,1.776575566714677e-08,-2056.4857142857145
3,FEMS - Community Events,6.265157920899626e-07,-58.87142857142857
4,Emergency No-Parking Verification,1.8804522052632119e-06,-1404.5142857142857
5,Yard Waste - Missed,9.053536579887788e-05,212.22857142857146
6,DMV - Vehicle Registration Issues,9.34851509026009e-05,74.44285714285715
7,Abandoned Bicycle,0.00010396440397150162,-46.542857142857144
8,Out of State Parking Violation (ROSA),0.00011222622676268471,-199.87142857142857
9,FEMS - Smoke Alarm Application,0.00015714803203103407,-33.22857142857143
10,"DMV - Forms, Applications, and Manuals Request",0.00022585259593579406,50.24285714285714
11,Supercan - Delivery,0.0002833196240052339,128.45714285714288
12,Bicycle Services,0.00028697826645345215,-20.514285714285716
13,Roadway Striping / Markings,0.000618195854136078,-58.8
14,Bulk Collection,0.0008065756213922722,1275.557142857143
15,Traffic Safety Investigation,0.0011719967750167802,-45.32857142857142
16,DMV - Driver and Vehicle Services Refund,0.0014263072431953013,6.357142857142857
17,Roadway Repair,0.0014475682818742798,-94.02857142857141
18,Sanitation Enforcement,0.0015572051373897574,-237.47142857142853
19,DMV - Drivers License/ID Reinstatement,0.0017518032474774948,5.6
20,DC Government Information,0.0021956600528167053,659.0714285714286
21,DMV - Hearings,0.0023604179117423358,5.414285714285714
22,How Is My Driving - Complaint,0.0024201516681975825,-20.3
23,Illegal Poster,0.0028395897238955026,63.714285714285715
24,DMV - Vehicle Insurance Lapse,0.0028582556809899984,-12.857142857142858
25,Rat Replacement Containers,0.0030392307689228095,21.95714285714286
26,DMV - Copy of Ticket,0.0034632707785321837,14.557142857142857
27,FEMS - Fire Safety Inspection,0.004319609140665911,-2.4428571428571426
28,Recycling Cart - Repair,0.00543564541302365,13.757142857142853
29,Bus/Rail Issues,0.006102696011358475,-12.728571428571428
30,DC Facilities Landscaping and Grounds Maintenance(DGS),0.006389509698333251,35.457142857142856
31,Recycling Cart Delivery,0.006716507216940481,60.628571428571405
32,Rodent Inspection and Treatment,0.007173721851071455,230.94285714285706
33,Trash Cart Repair,0.008889928999891848,25.92857142857143
34,DMV - Processing Center Manager,0.012860151804142525,-10.3
35,Coronavirus (COVID-19) Mass Gathering Tracking,0.01384295122923566,115.2
36,How Is My Driving - Compliment,0.014541540531772658,-2.4
37,DOEE – Foam and Straw Ban,0.014906013187110859,-3.5
38,Pothole,0.01635735927136854,-843.4
39,DMV - Adjudication Supervisor,0.022151031368467935,-4.171428571428571
40,Wire Down/Power Outage,0.02313075012891905,6.742857142857144
41,Supercan - Repair,0.02651014185682847,19.271428571428572
42,Roadway Signs,0.026571256978096234,-246.61428571428576
43,Public Space Litter Can-Collection,0.0270436437445862,71.37142857142858
44,DMV - Vehicle Inspection Issues,0.03144283598997175,13.242857142857142
45,DMV - Refunds - Tickets,0.035847137806949016,-2.7142857142857144
46,DMV - Online Processing Issues,0.03887398322245305,9.414285714285715
47,Child Safety Seat Program,0.04009291264774772,-0.5714285714285714
48,Traffic Signal Issue,0.0411268170130996,-47.542857142857144
49,DOEE - Foam Ban / Food Service Ware Requirements,0.04738410114224893,-1.6571428571428573
50,Issue,0.05480918528357112,-0.35714285714285715
51,Signed Street Sweeping Missed,0.05565725788335031,-11.771428571428572
52,DMV - Drivers License/ID Issues,0.06693399578752685,39.342857142857156
53,Shut the Door (DOEE),0.06786397386016728,-4.285714285714286
54,DMV - Offset Tracking,0.0694585820262896,-0.6428571428571429
55,DOEE - Bag Law Tips,0.0708589395202558,-1.2428571428571429
56,Abandoned Vehicle - On Private Property,0.07330687450952086,-17.514285714285705
57,Quarantine Resource and Service Request (COVID-19),0.07859381541103945,1.7
58,Trash Cart - Delivery,0.08634777421997289,31.071428571428584
59,DMV - eTIMS Ticket Alert Services Issues,0.0880254148011662,-0.9142857142857141
60,FEMS - Fire Safety Education,0.08911982285685427,-0.7285714285714286
61,Recycling - Commercial Only,0.09505872747366065,-0.5428571428571429
62,Sidewalk Repair,0.0952582318473873,-63.771428571428544
63,Recycling - School Program,0.1073508133147906,-1.1142857142857143
64,Trash Collection - Missed,0.10889782932879052,214.41428571428582
65,DMV - Appeal,0.11581702224363175,1.0428571428571427
66,Resident Parking Permit,0.12210020545939877,-3.385714285714286
67,DMV - Driver Record Issues,0.14014645687384708,2.228571428571428
68,Abandoned Vehicle - On Public Property,0.14890080114724819,-69.92857142857144
69,Test Animal - Vaccination Investigation - DAS,0.1503531000515034,-2.142857142857143
70,DC Facilities Landscaping and Grounds Maintenance,0.16583744004787088,-1.0714285714285714
71,Utility Repair Issue,0.16599262076662785,-7.585714285714282
72,Public Space Litter Can- Installation/Removal/Repair,0.1667136643476268,12.971428571428575
73,Recycling Collection - Missed,0.17044521493915593,69.37142857142851
74,DOEE - Reporting Electronics in Trash,0.1837428046844038,0.7857142857142857
75,Rodent Inspection and Treatment- Follow Up,0.18938120566371547,-0.6428571428571429
76,Streetcar,0.18938120566371566,-0.21428571428571427
77,Junk Motor Vehicle - CCS,0.21779639450991747,-0.2857142857142857
78,Illegal Fireworks,0.21818882249528843,15.1
79,DOEE - Nuisance Odor Complaints,0.2183176338608764,4.5
80,Snow/Ice Removal,0.22557330576618892,-68.44285714285714
81,Alley Cleaning,0.22767216184124583,89.01428571428573
82,Christmas Tree Removal-Seasonal,0.23191777633234278,-519.3714285714285
83,Container Removal,0.24224704421151422,34.871428571428595
84,Hypothermia Shelter Information,0.24265490596697226,-1.2
85,Automation Activity Outcome,0.25362200612927194,-0.42857142857142855
86,Snow/Ice Removal (Roadways AND Bridge walkways ONLY),0.26208705931617504,-22.357142857142858
87,Vacant Lot - Public Property Only,0.2768933779362262,14.814285714285717
88,Snow Removal Complaints for Sidewalks,0.2905909407732622,-31.87142857142857
89,Snow Sidewalk Shoveling Enforcement Exemption,0.294191297408662,-36.07142857142857
90,Streetlight Repair Investigation,0.31578149519279797,-59.10000000000002
91,Christmas Tree Collection Concerns,0.3226125220825504,-50.92857142857143
92,Automation Schedule,0.33556127786542267,-0.7142857142857143
93,Automation Activity,0.3355612778654228,-0.6428571428571429
94,Automation All Questions,0.3355612778654228,-0.07142857142857142
95,FEMS - Honor Guard,0.3355612778654228,-0.07142857142857142
96,Automation Auto Close,0.3355612778654228,-0.07142857142857142
97,DGS-SRT-TEST,0.3355612778654228,-0.14285714285714285
98,Automation Reallocate,0.3355612778654228,-0.14285714285714285
99,Automation Dep Picklist,0.3355612778654228,-0.07142857142857142
100,DOEE - Energy Benchmarking,0.3355612778654228,-0.07142857142857142
101,OUC NYE Test,0.3355612778654228,-0.07142857142857142
102,DDS - Improper Use of Restraints,0.3355612778654228,-0.14285714285714285
103,Test-SW-Bulk Scheduled,0.34343639613791355,1.0
104,Snow Ticket Reimbursement,0.34343639613791355,0.1
105,Sample SR,0.34343639613791355,0.9
106,Test-Provar-Service-Question,0.34343639613791355,0.2
107,Test-Automation Activity,0.34343639613791366,0.3
108,Street Cleaning,0.3728284100672036,-51.02857142857147
109,Tree Pruning,0.3777451015699532,62.957142857142856
110,Christmas Tree Removal-Missed,0.38013506043138356,-6.185714285714286
111,Alley Repair,0.40673242098405127,-8.57142857142857
112,Emergency - Flooding,0.40727204095111835,0.35714285714285715
113,Ticket Ombudsman,0.40952466981288194,0.1285714285714286
114,Emergency - Power Outage/Wires Down,0.41038205687511564,0.9142857142857146
115,Tree Inspection,0.4344458010813549,110.65714285714279
116,Neighborhood Clean-Up,0.4609030460768586,-0.4714285714285713
117,Graffiti Removal,0.47462415551876624,-27.285714285714278
