,service_type,p-value,direction
0,Montgomery County Public Schools - How to Contact,6.359239494673198e-12,-36.52857142857143
1,Ride On Complaint - Service,8.87603903066391e-11,-174.7285714285714
2,SmarTrip Card Problems,1.2944774300431656e-10,-22.857142857142858
3,Contact Specific Community Use of Public Facilities Scheduler or Staff Member,2.2032874022533936e-09,-19.285714285714285
4,Ride On Lost and Found,3.358457493991087e-09,-160.71428571428572
5,Cancel Recycling & Refuse Service Request,3.686375088725946e-09,81.97142857142858
6,Montgomery County Employee Directory Assistance,7.3340824509275585e-09,-311.9428571428571
7,Traffic Signal Timing and Other Issues,1.097808319636937e-08,-40.45714285714286
8,Ride On Trip Planning,1.2344408633130642e-08,-298.0857142857143
9,"TB Clinic Location and Hours, How to Make an Appointment",1.581262540983769e-08,-20.82857142857143
10,Name of Recruiter for a Specific Department,1.668819045172069e-08,-46.42857142857143
11,Name and Telephone Number of DPS Residential Building Inspector,2.1398897998925217e-08,-360.9571428571429
12,Same Day,2.21103384552833e-08,332.7142857142857
13,65 Gallon Cart Delivery,3.343632670712469e-08,141.85714285714286
14,Reduced Cost Dental Care for Low Income Adults and Children,3.7734225264390695e-08,-12.242857142857142
15,Ride On Compliment,3.8752408370610425e-08,-10.5
16,"Apply for or Obtain Eligibility Criteria and Status of Application, for Office of Home Energy Programs",3.935687786465345e-08,-63.92857142857143
17,"Report an Untagged, Abandoned, Dysfunctional, or Inoperable Vehicle on the Public Street, Commercial, or Private Parking Lot",4.1024027925255146e-08,-53.64285714285714
18,MTA Commuter Bus,4.473224503122345e-08,-7.414285714285714
19,Missed Collection,4.7195327599843324e-08,125.88571428571427
20,"Location, Hours and Parking for the Office of Human Resources",5.435832976586136e-08,-16.4
21,Applying for Community Use Space,8.856811330449822e-08,-21.7
22,Ride On Complaint - Driver Behavior,9.808133163682757e-08,-136.17142857142858
23,22 Gallon Bin Pick-up,1.338288488442245e-07,656.1142857142856
24,Library Meeting Rooms - When to Submit Applications for Room Reservations,1.4695748777878272e-07,-8.242857142857142
25,"Maryland Department of Transportation, State Highway Administration (SHA)",1.9032347891230823e-07,-81.57142857142858
26,Death Certificates,2.0779310567144444e-07,-8.142857142857142
27,1401,2.427527821774005e-07,-263.22857142857146
28,Senior Dental Program,2.452338858810459e-07,-12.828571428571427
29,DHCA Housing Code Enforcement Office Location,2.6218725245988265e-07,-14.957142857142857
30,Temporary Suspension of Parking Enforcement in a Permit Parking District,2.7764009508892064e-07,-10.885714285714286
31,Schedule Residential Inspections,3.31612109441388e-07,-525.7571428571429
32,Traffic Hazard,3.4392660237363247e-07,-8.32857142857143
33,Active Montgomery Assistance,3.898948415423496e-07,-23.571428571428573
34,MMR Hepatitis B Varicella Vaccine or Titer,4.036754381960076e-07,-5.2
35,Birth Death Marriage or Divorce Certificates,5.651527122505523e-07,53.785714285714285
36,22 Gallon Bin Delivery,6.305227675096868e-07,2029.4285714285716
37,Determining Whether a Rental Property is Licensed or the Status of a Rental License Application,7.802605515950514e-07,-22.285714285714285
38,Ride On Fare Seniors/People/Persons with Disabilities Riding Free in Montgomery County,8.063882668651425e-07,-8.371428571428572
39,Cart Repair,9.826108688246469e-07,452.3285714285714
40,Common Ownership Communities (CCOC) Office Location,9.835760642017582e-07,-4.271428571428571
41,Eviction Notice,1.0544184458380327e-06,-7.671428571428571
42,AccessMCG (iRecruitment) - County Employment Application Process,1.2699432489436717e-06,-14.557142857142857
43,Cart Repair (Paper Recycling),1.5309934853986396e-06,-437.92857142857144
44,22 Gallon Bin Delivery (Bottles/Cans/Jars),1.6020423911273758e-06,-1802.2857142857142
45,Employment Verification Request (Retiree and Former Employee),1.705255473582135e-06,-23.4
46,Ride On Fare Cost,1.923645406569342e-06,-14.5
47,Adding a Family Member to the Property Deed Title,1.9883171524371936e-06,-3.0428571428571427
48,Retirement Investments,2.0880671658214748e-06,-4.771428571428571
49,STD Testing and Treatment and HIV Testing Only,2.531377703548244e-06,-115.05714285714286
50,7 Gallon Desk Side Bin Delivery (Commercial Businesses),2.568406358577947e-06,-22.785714285714285
51,35 Gallon Cart Delivery (Paper Recycling),2.571074272118598e-06,-131.07142857142858
52,1301 Request for Back Office Response,3.279566618412186e-06,-41.92857142857143
53,8818 Request for Back Office Response,3.36067096683266e-06,-16.414285714285715
54,Request For New Ride-On Bus Stop or Shelter,3.3859382767075423e-06,-6.042857142857143
55,Schedule DPS Commercial Building Construction Related Permitting Inspections,3.4054336530634437e-06,-145.27142857142854
56,Field Check,3.500406538317089e-06,389.7857142857143
57,6 Gallon Baby Blue Delivery (Multi-Family),3.707634938882679e-06,-33.857142857142854
58,65 Gallon Cart Delivery (Paper Recycling),3.749654509971395e-06,-143.21428571428572
