,service_type,p-value,direction,inc/dec
0,22 Gallon Bin Delivery (Bottles/Cans/Jars),1.6020423911273758e-06,-1802.2857142857142,decreased
1,Ride On Real Time Arrival Information,3.3751909619539e-05,-1209.6571428571428,decreased
2,22 Gallon Bin Pick-up ((Bottles/Cans/Jars),5.189003038709967e-06,-626.5714285714286,decreased
3,Schedule Residential Inspections,3.31612109441388e-07,-525.7571428571429,decreased
4,Cart Repair (Paper Recycling),1.5309934853986396e-06,-437.92857142857144,decreased
5,Unacceptable for Collection (For Use by SWS Field Staff Only),0.00014802540094245025,-433.14285714285717,decreased
6,Name and Telephone Number of DPS Residential Building Inspector,2.1398897998925217e-08,-360.9571428571429,decreased
7,Field Check Required for Division of Solid Waste Services,0.00011637250740293914,-336.92857142857144,decreased
8,Montgomery County Employee Directory Assistance,7.3340824509275585e-09,-311.9428571428571,decreased
9,Ride On Trip Planning,1.2344408633130642e-08,-298.0857142857143,decreased
10,Same Day (For Use by SWS Staff Only),0.00011483545588996478,-269.2857142857143,decreased
11,1401,2.427527821774005e-07,-263.22857142857146,decreased
12,Balance of Property Tax Bill,0.01970032682960073,-233.6428571428571,decreased
13,Pothole Repair,0.0034879169031007975,-182.0,decreased
14,Ride On Complaint - Service,8.87603903066391e-11,-174.7285714285714,decreased
15,Income Support Application Status: Food Stamps TCA Medicaid TDAP Rockville Office,0.008884670142183741,-163.14285714285714,decreased
16,Ride On Lost and Found,3.358457493991087e-09,-160.71428571428572,decreased
17,Schedule DPS Commercial Building Construction Related Permitting Inspections,3.4054336530634437e-06,-145.27142857142854,decreased
18,65 Gallon Cart Delivery (Paper Recycling),3.749654509971395e-06,-143.21428571428572,decreased
19,Ride On Complaint - Driver Behavior,9.808133163682757e-08,-136.17142857142858,decreased
20,Housing Complaints,0.025519763262752286,-134.97142857142853,decreased
21,35 Gallon Cart Delivery (Paper Recycling),2.571074272118598e-06,-131.07142857142858,decreased
22,Department of Permitting Services Location and Hours of Operation,0.00011697108678297553,-129.2714285714286,decreased
23,Property Tax Credit for Elderly Individuals and for Military Retirees,0.014397186069352018,-126.88571428571427,decreased
24,STD Testing and Treatment and HIV Testing Only,2.531377703548244e-06,-115.05714285714286,decreased
25,Income Support Application Status: Food Stamps TCA Medicaid TDAP Germantown Office,0.010087022107116261,-114.57142857142857,decreased
26,Police Department Information,0.006710781060433009,-104.92857142857144,decreased
27,Missed County Provided Recycling or Trash Pick-up,4.4168958460458584e-05,-104.92857142857143,decreased
28,Redeem Property From Tax Lien,2.382326001366185e-05,-102.71428571428571,decreased
29,Status of Tree Prune or Removal,4.1069107338713245e-06,-95.0,decreased
30,Assigned Residential Inspector,5.432493371715875e-06,-88.78571428571429,decreased
31,Income Support Application Status: Food Stamps TCA Medicaid TDAP Silver Spring Office,0.008536089498807579,-87.71428571428571,decreased
32,"Maryland Department of Transportation, State Highway Administration (SHA)",1.9032347891230823e-07,-81.57142857142858,decreased
33,Fire Code Compliance Inspection Request,0.0004482785797342119,-74.1,decreased
34,"Renew or Apply for Fire Code Compliance, Operational, or General Fire Permits",0.013864042027728314,-71.74285714285713,decreased
35,"Apply for or Obtain Eligibility Criteria and Status of Application, for Office of Home Energy Programs",3.935687786465345e-08,-63.92857142857143,decreased
36,Cancel Solid Waste Service Request,2.6815996674381694e-05,-63.714285714285715,decreased
37,Replace Tree that was Removed from Right of Way,0.0009141482244655945,-61.857142857142854,decreased
38,Walk-in Landlord-Tenant Complaints,0.0005508451074255185,-59.28571428571429,decreased
39,Department of Health and Human Services Office Locations Directions and Office Hours,0.02221061468647421,-56.57142857142857,decreased
40,Road Repair,6.907227176635042e-05,-56.35714285714286,decreased
41,"Report an Untagged, Abandoned, Dysfunctional, or Inoperable Vehicle on the Public Street, Commercial, or Private Parking Lot",4.1024027925255146e-08,-53.64285714285714,decreased
42,Missed Appointment Income Supports or Phone Interview,0.00837465785588964,-53.0,decreased
43,Name and Telephone Number of DPS Commercial Building Inspector,2.2871088450419788e-05,-52.942857142857136,decreased
44,Department of Finance Divisions and Contact Information,5.632182618953851e-06,-50.04285714285714,decreased
45,Personal Property Tax Billing,0.0035556345561133093,-49.0,decreased
46,Free Income Tax Assistance Tax Year 2018,0.02264676433292506,-48.92857142857143,decreased
47,Name of Recruiter for a Specific Department,1.668819045172069e-08,-46.42857142857143,decreased
48,Aging and Disability Resource Unit (ADRU) of  the Department of Health and Human Services (HHS),0.0002872676939454352,-45.67142857142858,decreased
49,1301 Request for Back Office Response,3.279566618412186e-06,-41.92857142857143,decreased
50,Traffic Signal Timing and Other Issues,1.097808319636937e-08,-40.45714285714286,decreased
51,MC311 General Information,0.0007903773944122802,-38.400000000000006,decreased
52,Employee - Verify Health Insurance Coverage,0.00011980983692931283,-38.2,decreased
53,Obtain a Birth Certificate,0.005939945505904532,-37.5,decreased
54,Montgomery County Public Schools - How to Contact,6.359239494673198e-12,-36.52857142857143,decreased
55,Washington Suburban Sanitary Commission (WSSC),1.416995232991371e-05,-35.95714285714286,decreased
56,Report Streetlight Outage or Malfunctioning,0.0004898732534609264,-35.87142857142857,decreased
57,Checking Status of a Housing Code Enforcement Complaint or Inspection,0.00015711709584049062,-34.78571428571429,decreased
58,6 Gallon Baby Blue Delivery (Multi-Family),3.707634938882679e-06,-33.857142857142854,decreased
59,County Recycling/Refuse Collection Day,0.00387426254786832,-33.599999999999994,decreased
60,12900 Request for Back Office Response,2.3093561164883327e-05,-32.55714285714286,decreased
61,"Birth certificate, Death Certificates, Divorce Decree, Marriage Verification",0.006682072877128469,-31.214285714285715,decreased
62,Income Support Application Request: Food Stamps Medical Assistance Temporary Cash Assistance or Temporary Disability Assistance Program and Offices Fax Numbers,0.008708893876970856,-30.5,decreased
63,Metro Contact Information,0.010198637113292346,-30.200000000000003,decreased
64,Ride On Insufficient Information,7.477536004058278e-05,-30.114285714285714,decreased
65,Literature Items - Commercial/Business and Multi-family Recycling,0.0011446909871329284,-29.92857142857143,decreased
66,Reporting Animal Complaints to the Animal Services Division,0.03457025236528004,-28.12857142857143,decreased
