,service_type,p-value,direction
0,Rental License Inspection (Single Family),4.354944525381691e-05,39.15714285714286
1,Food Facility Complaint,0.00010237186643704783,-21.542857142857144
2,Court Case - Code Enforcement,0.0001586456167672594,-25.071428571428573
3,Food Supplement Program (Food Stamps),0.0004224390756282359,1.9
4,Violations - COVID-19,0.000524554434491335,155.9
5,The Bus,0.0006029561102452694,-4.071428571428571
6,Citation - Code Enforcement,0.0006730525840101246,-14.257142857142858
7,Fire/EMS General Inquiries,0.0009019739146283327,-12.07142857142857
8,CountyClick 311 Site Enhancement Suggestion,0.0011131537893958661,-0.8571428571428571
9,Pavement Markings - Existing,0.001261068027665425,-3.428571428571429
10,Pothole Repair,0.0020418482124523922,-259.8
11,Board Structure,0.0022158178881171125,-0.6428571428571429
12,Cable Commission Complaint,0.003146115099746783,-15.028571428571427
13,Clean Lot/Board Structure,0.0033351203045319197,-4.071428571428571
14,Food Poisoning (Possible),0.0039333551052517105,-4.142857142857143
15,Concrete Work (In House),0.004127219101214166,-5.685714285714287
16,CountyClick 311 Changes,0.004919252410501668,-2.3857142857142857
17,Traffic Signs - Repair/Replace,0.005236804582309798,-19.885714285714293
18,Traffic Hazard/Safety,0.007121627666515764,-4.7142857142857135
19,CountyClick 311 Emails,0.00712470474876491,-238.8
20,Vehicle Audit - Incoming Referral,0.009907055058588972,-19.371428571428574
21,PSC Customer Service,0.010284797926865465,-19.314285714285717
22,Road Resurfacing,0.011480100336397292,-15.12857142857143
23,Tax - General Inquiry,0.012849171783968816,-1.0571428571428572
24,Request a County Agency Representative,0.012986865174166692,-0.5
25,Coronavirus/COVID-19,0.013219096648325298,3.5
26,Vehicle - Abandoned (No Plates),0.013447580588671156,-26.285714285714292
27,Medical Assistance,0.01347335888201409,-0.6428571428571429
28,Animal - Injured,0.01365828764277578,2.8285714285714287
29,Vehicle - Remove Vehicle Requested by Property Owner,0.014233416415981375,-6.285714285714286
30,PSC Audio Recording Request,0.015572016647262026,126.92857142857144
31,Traffic Signal Maintenance,0.017248048158741845,-13.142857142857146
32,Discrimination Complaint,0.022991419939617563,-0.657142857142857
33,Call-a-Bus Program Information,0.027531588210939227,-0.42857142857142855
34,Traffic Control Device - New,0.030232599303215136,9.485714285714286
35,Traffic Signal - Long Term Maintenance,0.030649698428027415,-3.028571428571429
36,Air/Land/Water Contamination Complaint,0.032193743881965976,-3.671428571428571
37,Boat Trailer/Camping Trailer/Equipment Trailer on Roadway,0.035785636810647434,-7.042857142857141
38,Foam Free PGC Ban,0.037489904231731215,-1.0714285714285714
39,Guardrail - Install New,0.05124190076432294,-1.0714285714285716
40,Bus Stop - New,0.053257285600664624,-0.8428571428571427
41,Animal - Barking Complaint,0.05345532283304082,1.7000000000000002
42,Animal - Commercial Facility Complaint,0.05543948493145511,-0.5714285714285714
43,Street Light Outage(s),0.06496630760766046,-2.2285714285714286
44,Surface Drainage/Under Drain Issues in Public Right-of-Way,0.07435473040793439,-2.542857142857143
45,Call-a-Cab,0.08227686582718166,-0.21428571428571427
46,Food Truck(s) in a Hub - Other Complaints,0.08227686582718166,-0.21428571428571427
47,Street Median Maintenance,0.0866184451394844,-1.3857142857142857
48,Parking Complaints,0.08810894313702147,-46.514285714285734
49,Clean Lot,0.08932100039187131,-8.7
50,Sidewalk Replacement - In House,0.09159131493585922,-4.6
51,ENF-Business/Commercial Exterior Concerns,0.0944094302282006,-15.857142857142861
52,Recycling - Business/Multi Family Plan Assistance,0.09506333439958918,-0.8857142857142858
53,Street Sweeping,0.09878108456240124,-0.4714285714285714
54,Damage Caused by Utility Companies,0.10622140744552551,-1.3142857142857145
55,Animal - Pet License Application,0.1080552423460195,0.9
56,RRD - Composting,0.11527424881526363,-0.9142857142857141
57,Call-a-Bus Issues,0.11534880116069057,-0.3285714285714285
58,County Vehicles - Reporting Misuse/Mishandling of Vehicles,0.12100700628560404,-0.5428571428571428
59,Animal - Vicious,0.121581768559412,-0.9571428571428573
60,Sewage Overflow,0.1264533933915393,-1.342857142857143
61,Cut and Patch (Contractor),0.13054110060508375,-4.614285714285714
62,Taxi Complaint,0.13136268888649283,-0.4428571428571429
63,Town Hall - COVID-19,0.1356298252376524,9.2
64,Tree Replacement in Public Right-of-Way,0.13668860744675868,-2.057142857142858
65,Parked Vehicle Causing Hazard (On Public Road),0.15610824785650465,-9.028571428571432
66,Concrete Work (Contractor),0.15886421300041248,2.0428571428571436
67,Sign Blitz,0.16482344535684462,-0.14285714285714285
68,Election-related Requests,0.16482344535684462,-0.14285714285714285
69,CEX - Correspondence,0.16785065605707492,0.2
70,Temporary Cash Assistance (TCA) Program,0.16785065605707492,0.2
71,Public Pool/Spa Complaint,0.18479494537539942,-0.3
72,Construction Issues,0.18749107943248522,2.4857142857142858
73,Section 8 (Housing Choice Voucher) Concern,0.1893812056637156,-0.21428571428571427
74,Damaged Mailbox,0.18971477230420583,-1.8857142857142857
75,Volunteer Neighborhood Clean-up - Roll-Off Dumpster,0.19809257429449684,-0.3857142857142857
76,Zoning - Issue Use & Occupancy (U&O) Certificate,0.19845648646572825,0.22857142857142856
77,Recycling - Business/Multi Family Required Report,0.20615666552803907,-0.3714285714285714
78,Flooding (Yard/Private Property),0.21493249842355205,15.414285714285718
79,Animal - Cruelty,0.2224569003244798,1.8857142857142861
80,Channel Maintenance,0.22332770266062105,1.3571428571428572
81,Shoulder Repair,0.2266043413849968,-0.7142857142857144
82,Sinkholes (Public Right-of-Way),0.2307258372240675,-8.985714285714288
83,Animal - Illegal Breeds,0.23345710532461933,-1.1857142857142855
84,Child & Adult Protective Services Adoption Foster Care,0.2478712360582462,-0.41428571428571415
85,School Flasher Maintenance,0.2591075971070217,-0.1857142857142857
86,RRD - One Bag Rule,0.2591075971070217,-0.1857142857142857
87,Snow Removal (Roadways),0.26335090949700757,-45.01428571428571
88,County Executive Emails,0.26777772899400465,-13.685714285714287
89,Pipe Repair/Replacement (Contractor),0.291106703969452,-1.1428571428571428
90,Animal - Bite,0.2918307720959983,0.35714285714285715
91,Recycling - Business/Multi Family Complaint,0.2962768806315158,-0.8857142857142857
92,Litter Removal (from County Right-of-Way),0.30584698755481476,-9.585714285714289
93,EAFC Eviction and Relocation Assistance,0.30708762293324865,0.2571428571428572
94,Snow - Complaints about Snow/Ice on Sidewalks,0.3100934048765709,-2.857142857142857
95,Sump Pump Discharge onto Roadway & Sidewalk,0.3298859046474668,-2.442857142857143
96,Comprehensive Community Clean-up - CCCC,0.3300338360682342,-0.3857142857142857
97,Open Enrollment,0.33294246482425116,-41.07142857142857
98,Zoning Periodic Inspections,0.33556127786542256,-0.07142857142857142
99,Status of Open Warrants,0.33556127786542256,-0.07142857142857142
100,Zoning - Stats (Other),0.33556127786542256,-0.07142857142857142
101,Expedited Food Supplement Benefit (Food Stamps),0.33556127786542256,-0.14285714285714285
102,Animal - Pet Waste,0.3355612778654228,-0.14285714285714285
103,Building Maintenance (Internal),0.3355612778654228,-0.07142857142857142
104,Zoning - Issue Sign Permit,0.3355612778654228,-0.07142857142857142
105,Food Truck(s) in a Hub - Food Complaints Only,0.3355612778654228,-0.07142857142857142
106,Abandoned Construction,0.3355612778654228,-0.07142857142857142
